Marca temporal,Escull el teu idioma / Escoge tu idioma / Choose your language,Gènere,Nacionalitat,"Has finalitzat, o estas actualment cursant, estudis superiors STEM?","El teu referent 1 (Pares, mares,tutors,...)ha finalitzat estudis superiors?","En cas afirmatiu, estan aquests enfocats en l’àmbit STEM?","El teu referent 2 (Pares, mares,tutors,...) ha finalitzat estudis superiors?","En cas afirmatiu, estan aquests enfocats en l’àmbit STEM?",Consideres que els estudis d’algun del teus referents o d’amdós t’han condicionat a l’hora d’escollir els teus estudis superiors?,Género,Nacionalidad,"¿Has finalizado, o estás actualmente cursando, estudios superiores STEM?","¿Tu referente 1 (Padres, madres,tutores...) ha finalizado estudios superiores?","En caso afirmativo, ¿pertenecen al ámbito STEM?","¿Tu referente 2 (padres,madres,tutores...) ha finalizado estudios superiores?","En caso afirmativo, ¿pertenecen al ámbito STEM?",¿Consideras que los estudios de alguno de tus referentes o de ambos te han condicionado a la hora de escoger tus estudios superiores?,Gender,Nationality,"Have you completed, or are you currently pursuing, STEM higher education?",Has your first mentor (Fathers/mothers/tutors) completed their higher education?,"If so, are the studies STEM-focused?",Has your second mentor (Fathers/mothers/tutors) completed their higher education?,"If so, are the studies STEM-focused?",Do you consider that your mentors’ studies have influenced you when choosing your career? 
1/12/2020 18:04:04,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 18:07:57,Esp,Mujer,Cubana ,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
1/12/2020 18:36:14,Cat,Dona,Espanyola,No,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 18:48:28,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
1/12/2020 19:00:04,Cat,Dona,Espanyola,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
1/12/2020 19:04:43,Cat,Dona,Espanyola,No,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 19:09:44,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
1/12/2020 19:10:55,Cat,Dona,Espanyola,Sí,No,No,No,No,Sí,,,,,,,,,,,,,,,,
1/12/2020 19:19:39,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
1/12/2020 19:39:13,Esp,Mujer,Francesa,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 19:57:54,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 19:58:34,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
1/12/2020 19:59:47,Esp,Mujer,Española,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
1/12/2020 20:08:43,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
1/12/2020 20:59:01,Cat,No-Binari,Espanyola,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
1/12/2020 21:14:09,Cat,Home,Espanyola,No,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 21:20:08,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
1/12/2020 21:32:27,Cat,Dona,Espanyola,No,No,No,Sí,Sí,No,,,,,,,,,,,,,,,,
1/12/2020 21:42:01,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
1/12/2020 22:13:10,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
1/12/2020 22:44:49,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
1/12/2020 23:18:42,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
1/12/2020 23:22:21,Cat,Dona,Espanyola,No,Sí,No,Sí,Sí,Sí,,,,,,,,,,,,,,,,
1/12/2020 23:44:20,Esp,Mujer,Española,Sí,No,,No,,Sí,,,,,,,,,,,,,,,,
2/12/2020 0:01:38,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
2/12/2020 1:15:26,Esp,Mujer,Española,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
2/12/2020 8:33:38,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
2/12/2020 9:19:11,Cat,Dona,Espanyola,Sí,No,,,,No,,,,,,,,,,,,,,,,
2/12/2020 12:15:17,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
2/12/2020 12:23:15,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
2/12/2020 12:35:46,Cat,Dona,Espanyola,No,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
2/12/2020 17:06:49,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
2/12/2020 17:07:58,Cat,Dona,Espanyola,Sí,Sí,Sí,No,No,Sí,,,,,,,,,,,,,,,,
2/12/2020 17:20:46,Esp,Mujer,Española,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
2/12/2020 17:50:14,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
2/12/2020 20:02:08,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
2/12/2020 20:02:43,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
2/12/2020 20:07:25,Esp,Mujer,Española,Sí,Sí,No,Sí,Sí,Sí,,,,,,,,,,,,,,,,
2/12/2020 20:07:32,Esp,Mujer,Española,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
2/12/2020 20:09:39,Esp,Mujer,Española,Sí,No,,No,,No,,,,,,,,,,,,,,,,
2/12/2020 20:11:26,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
2/12/2020 20:13:42,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
2/12/2020 20:36:01,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
2/12/2020 20:38:06,Cat,Dona,Espanyola + Neerlandesa,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
2/12/2020 20:51:25,Esp,Mujer,Española,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
2/12/2020 22:01:18,Cat,Dona,Espanyola,No,No,,No,,No,,,,,,,,,,,,,,,,
2/12/2020 22:04:16,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
3/12/2020 0:32:15,Cat,Dona,Espanyola,Sí,No,No,Sí,Sí,No,,,,,,,,,,,,,,,,
3/12/2020 9:15:33,Cat,Dona,Espanyola,No,No,No,No,No,No,,,,,,,,,,,,,,,,
3/12/2020 10:31:44,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
3/12/2020 10:45:50,Cat,Dona,Espanyola,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
3/12/2020 11:08:42,Cat,Dona,Espanyola,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
3/12/2020 15:11:06,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
3/12/2020 15:14:34,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
3/12/2020 15:49:12,Esp,Mujer,Española,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
3/12/2020 15:54:30,Cat,Dona,Espanyola,Sí,No,,No,,Sí,,,,,,,,,,,,,,,,
3/12/2020 16:18:01,Cat,Dona,Espanyola,Sí,Sí,No,No,No,Sí,,,,,,,,,,,,,,,,
3/12/2020 16:49:13,Cat,Dona,Espanyola,No,No,No,No,No,No,,,,,,,,,,,,,,,,
3/12/2020 18:26:16,Eng,Female,Spanish,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,
3/12/2020 20:09:48,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 11:02:06,Eng,Female,Spanish,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 11:07:46,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 11:11:54,Esp,Mujer,Española,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 11:12:02,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 11:25:34,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 11:25:38,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 11:27:07,Cat,Dona,Espanyola,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 11:34:24,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 11:35:16,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
4/12/2020 11:37:55,Cat,Home,Espanyola,Sí,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 11:38:47,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 11:39:11,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
4/12/2020 11:43:10,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 11:48:30,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,No,,,,,,,,,,,,,,,,
4/12/2020 12:04:06,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 12:04:57,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
4/12/2020 12:11:19,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
4/12/2020 12:16:14,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
